source_row_index,district_number,district_marker_raw,district_number_source,area_name,building_age_years,floor_area_sqm,rent_toman,rent_toman_min,rent_toman_max,deposit_toman,rent_raw,row_raw,flag_amount_ambiguous,issue_classes,notes,source_file,outlet,outlet_evidence,evidence_tier,verification,date_jalali_raw,date_jalali_ym
40,8,8,marker,کرمان شمالی,9,81,7000000.0,,,750000000,9817750,۸کرمان شمالی9817750,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
41,9,9,sibling_table_name_match,استاد معین - لعل آخر,8,81,10000000.0,,,100000000,88110100,۹استاد معین - لعل آخر88110100,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
42,9,9,marker,دکتر هوشیار - دارمیشکی,10,70,,6000000.0,15500000.0,500000000,10706 / 15.5500,۹دکتر هوشیار - دارمیشکی10706 / 15.5500,False,notation,rent_range_as_written,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
43,9,9,sibling_table_name_match,مهرآباد جنوبی - وصالی,8,83,15000000.0,,,300000000,88315300,۹مهرآباد جنوبی - وصالی88315300,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
44,9,9,marker,جی - جرجانی,5,80,14000000.0,,,300000000,58014300,۹جی - جرجانی58014300,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
45,9,9,sibling_table_name_match,دستغیب,9,85,10000000.0,,,500000000,98510500,۹دستغیب98510500,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
46,10,10,sibling_table_name_match,بریانک,8,75,,5000000.0,10500000.0,500000000,8755 / 10.5500,۱۰بریانک8755 / 10.5500,False,notation,rent_range_as_written,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
47,10,10,sibling_table_name_match,جیحون - قصرالدشت,,,,,,,98511600,۱۰جیحون - قصرالدشت98511600,True,source_ambiguity,ambiguous_column_split:2_candidates,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
48,10,10,marker,زنجان - دارمیشکی,10,70,15000000.0,,,600000000,107015600,۱۰زنجان - دارمیشکی107015600,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
49,10,10,marker,هفت چنار - محبوب مجاز,9,70,15000000.0,,,500000000,97015500,۱۰هفت چنار - محبوب مجاز97015500,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
50,11,11,marker,هاشمی - عبداللهی,8,80,,4000000.0,12500000.0,400000000,8804 / 12.5400,۱۱هاشمی - عبداللهی8804 / 12.5400,False,notation,rent_range_as_written,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
51,11,1*,sibling_table_name_match,امیریه - بشیری,,,,,,,89001300,۱*امیریه - بشیری89001300,True,source_ambiguity,district_marker_corrupt:1*; ambiguous_column_split:2_candidates,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
52,11,1*,sibling_table_name_match,گمرک - زرجانی,7,78,17000000.0,,,500000000,77817500,۱*گمرک - زرجانی77817500,False,source_ambiguity,district_marker_corrupt:1*,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
53,11,11,marker,شیخ هادی,9,72,3000000.0,,,550000000,9723550,۱۱شیخ هادی9723550,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
54,,1*,unknown,مخصوص - ملایی,8,73,,,,800000000,873-800,۱*مخصوص - ملایی873-800,False,notation;source_ambiguity,district_marker_corrupt:1*; district_unresolved; rent_missing_as_written,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
55,,1*,unknown,جمهوری - باستانی,5,75,17500000.0,,,600000000,57517.5600,۱*جمهوری - باستانی57517.5600,False,source_ambiguity,district_marker_corrupt:1*; district_unresolved,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
56,12,12,marker,,,,,,,,,۱۲,True,data_error,row_text_unparsed,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
57,12,0,sibling_table_name_match,دروازه شمیران - کفایی امانی,9,78,15000000.0,,,500000000,97815500,۰دروازه شمیران - کفایی امانی97815500,False,source_ambiguity,district_marker_disagrees_with_sibling_table:0_vs_12,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
58,12,12,sibling_table_name_match,سنگلج - مفتحری,10,90,6000000.0,,,500000000,10906500,۱۲سنگلج - مفتحری10906500,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
59,12,12,sibling_table_name_match,مولوی,,,,,,,108012300,۱۲مولوی108012300,True,source_ambiguity,ambiguous_column_split:2_candidates,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
60,13,1*,gap_fill,آبشار - مقدم,9,75,15000000.0,,,300000000,97515300,۱*آبشار - مقدم97515300,False,notation,district_marker_corrupt:1*,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
61,13,1*,sibling_table_name_match,نیرو هوایی - سوم,9,85,15000000.0,,,1000000000,985151000,۱*نیرو هوایی - سوم985151000,False,notation,district_marker_corrupt:1*,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
62,13,1*,gap_fill,پیروزی - دهقان,9,90,30000000.0,,,500000000,99030500,۱*پیروزی - دهقان99030500,False,notation,district_marker_corrupt:1*,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
63,13,1*,sibling_table_name_match,تهران نو - مهرآور,8,85,10000000.0,,,1000000000,885101000,۱*تهران نو - مهرآور885101000,False,notation,district_marker_corrupt:1*,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
64,13,1*,gap_fill,آشتیانی - دماوند,9,70,10000000.0,,,500000000,97010500,۱*آشتیانی - دماوند97010500,False,notation,district_marker_corrupt:1*,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
65,13,1*,gap_fill,اسدی - قوسی نژاد,6,76,13000000.0,,,800000000,67613800,۱*اسدی - قوسی نژاد67613800,False,notation,district_marker_corrupt:1*,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
66,13,1*,gap_fill,چهارصد دستگاه - اندرزگو,7,70,13000000.0,,,400000000,77013400,۱*چهارصد دستگاه - اندرزگو77013400,False,notation,district_marker_corrupt:1*,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
67,14,14,sibling_table_name_match,پرستار - کرباسی ها,8,75,4500000.0,,,550000000,8754.5550,۱۴پرستار - کرباسی ها8754.5550,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
68,14,1*,sibling_table_name_match,دولاب - امیرسلمانی,10,82,3000000.0,,,900000000,10823900,۱*دولاب - امیرسلمانی10823900,False,source_ambiguity,district_marker_corrupt:1*,data/raw/donya-e-eqtesad_rent-asking_tir-1404.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_paste,تیر ۱۴۰۴,
