district_number,area_name_fa,year_window,window_start,window_end,months_present,price_psm_median_toman,price_psm_p25_toman,price_psm_p75_toman,price_total_median_toman,sample_size_median,sample_size_min,trust_direct_months,trust_modeled_months,confidence,notes
15,منطقه 15,1403 (1402-06..1403-05),1402-06,1403-05,12,48051459.535,41411067.195,58744131.455,3205000000.0,6310.0,5153,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
15,منطقه 15,1404 (1403-06..1404-05),1403-06,1404-05,12,55430556.08,45652020.614999995,70094045.21000001,3800000000.0,9076.0,6258,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
15,منطقه 15,1405 (1404-06..1405-05),1404-06,1405-05,12,67895299.145,54381720.43,87647058.825,4670000000.0,11587.5,6783,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
16,منطقه 16,1401 (1400-06..1401-05),1400-06,1401-05,12,19840291.75,16109142.309999999,25000000.0,1250000000.0,825.5,602,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
16,منطقه 16,1402 (1401-06..1402-05),1401-06,1402-05,12,35921052.629999995,29772236.270000003,44448308.275,2437500000.0,885.0,80,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
16,منطقه 16,1403 (1402-06..1403-05),1402-06,1403-05,12,52833333.335,45026014.79,63092294.47,3550000000.0,2378.0,2070,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
16,منطقه 16,1404 (1403-06..1404-05),1403-06,1404-05,12,60155122.655,49576271.185,84169657.435,4285000128.0,3771.5,2550,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
16,منطقه 16,1405 (1404-06..1405-05),1404-06,1405-05,12,70238095.235,58529282.67,85021801.275,4848750000.0,4129.0,2204,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
17,منطقه 17,1401 (1400-06..1401-05),1400-06,1401-05,12,18011363.64,16035006.83,22727272.73,1200000000.0,745.5,566,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
17,منطقه 17,1402 (1401-06..1402-05),1401-06,1402-05,12,32571428.57,28505434.785,37330263.16,2067500000.0,1445.5,96,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
17,منطقه 17,1403 (1402-06..1403-05),1402-06,1403-05,12,48230769.230000004,42209257.575,55000000.0,2840000000.0,3962.5,3399,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
17,منطقه 17,1404 (1403-06..1404-05),1403-06,1404-05,12,52215836.769999996,46469969.41500001,59031955.72,3197500032.0,5459.0,3923,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
