source_row_index,source_format,district_number,district_printed,district_correction,district_number_source,district_cross_check,district_marker_raw,area_name,building_age_years,floor_area_sqm,rent_toman,rent_toman_min,rent_toman_max,deposit_toman,rent_raw,row_raw,flag_amount_ambiguous,issue_classes,notes,source_file,outlet,outlet_evidence,evidence_tier,verification,date_jalali_raw,date_jalali_ym
53,corrupt_paste,11,11,,marker,unchecked,11,شیخ هادی,9,72,3000000.0,,,550000000,9723550,۱۱شیخ هادی9723550,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
54,corrupt_paste,,,,unknown,unchecked,1*,مخصوص - ملایی,8,73,,,,800000000,873-800,۱*مخصوص - ملایی873-800,False,notation;source_ambiguity,district_marker_corrupt:1*; rent_missing_as_written,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
55,corrupt_paste,,,,unknown,unchecked,1*,جمهوری - باستانی,5,75,17500000.0,,,600000000,57517.5600,۱*جمهوری - باستانی57517.5600,False,source_ambiguity,district_marker_corrupt:1*,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
56,corrupt_paste,,,,,,12,,,,,,,,,۱۲,True,data_error,row_text_unparsed,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
57,corrupt_paste,0,0,,marker,conflict,0,دروازه شمیران - کفایی امانی,9,78,15000000.0,,,500000000,97815500,۰دروازه شمیران - کفایی امانی97815500,False,source_ambiguity,district_print_0_vs_sibling_12,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
58,corrupt_paste,12,12,,marker,match,12,سنگلج - مفتحری,10,90,6000000.0,,,500000000,10906500,۱۲سنگلج - مفتحری10906500,False,,,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
59,corrupt_paste,12,12,,marker,match,12,مولوی,,,,,,,108012300,۱۲مولوی108012300,True,source_ambiguity,ambiguous_column_split:2_candidates,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
60,corrupt_paste,13,13,,gap_fill,unchecked,1*,آبشار - مقدم,9,75,15000000.0,,,300000000,97515300,۱*آبشار - مقدم97515300,False,notation,district_marker_corrupt:1*,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
61,corrupt_paste,13,13,,gap_fill,match,1*,نیرو هوایی - سوم,9,85,15000000.0,,,1000000000,985151000,۱*نیرو هوایی - سوم985151000,False,notation,district_marker_corrupt:1*,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
62,corrupt_paste,13,13,,gap_fill,unchecked,1*,پیروزی - دهقان,9,90,30000000.0,,,500000000,99030500,۱*پیروزی - دهقان99030500,False,notation,district_marker_corrupt:1*,data/raw/donya-e-eqtesad_rent-asking_tir-1404.corrupt-paste.txt,دنیای اقتصاد (Donya-e-Eqtesad),owner-supplied header line 'منبع: دنیای اقتصاد (Donya-e-Eqtesad)',C,unverified_owner_transcription,تیر ۱۴۰۴,
